customer_age,vendor_count,product_count,total_spend,total_orders,average_order_revenue,first_order_rearranged,last_order_rearranged,is_chain_percentage,cluster_dendogram,cluster_kmeans,cluster_birch,cluster_som,cluster_dbscan,cluster_meanshift,customer_region,last_promo,payment_method,hour,day,CUI_American_Percentage,CUI_Asian_Percentage,CUI_Beverages_Percentage,CUI_Cafe_Percentage,CUI_Chicken Dishes_Percentage,CUI_Chinese_Percentage,CUI_Desserts_Percentage,CUI_Healthy_Percentage,CUI_Indian_Percentage,CUI_Italian_Percentage,CUI_Japanese_Percentage,CUI_Noodle Dishes_Percentage,CUI_OTHER_Percentage,CUI_Street Food / Snacks_Percentage,CUI_Thai_Percentage
19,2,2,24.67,2,12.335,90,84,0,3,2,0,0,1,0,8670,DELIVERY,DIGI,Breakfast,weekday,0,0.476286988,0,0,0,0,0,0,0,0,0,0,0,0.523713012,0
21,3,4,14.97,3,4.99,90,83,0.666666667,3,2,0,0,1,0,2360,-,CASH,Breakfast,weekend,0,0,0.567802271,0.173680695,0,0,0,0,0,0.258517034,0,0,0,0,0
28,2,3,31.12,2,15.56,90,83,0,3,2,0,2,1,0,8670,-,DIGI,Late Night,weekend,0,0.213367609,0,0,0,0,0,0,0,0,0,0,0,0.786632391,0
32,2,3,36.19,2,18.095,90,83,0.5,3,2,0,0,0,0,4660,-,CARD,Dinner,weekend,0,0.549323017,0,0,0,0,0,0,0,0.450676983,0,0,0,0,0
21,2,3,35.78,2,17.89,90,83,0.5,3,2,0,0,0,0,8670,DELIVERY,DIGI,Lunch,weekend,0,0.662381219,0,0,0,0.337618781,0,0,0,0,0,0,0,0,0
32,2,6,25.58,5,5.116,90,83,1,2,2,0,0,1,0,2360,DELIVERY,CASH,Breakfast,weekday,0,0,0,0,0,0,0,0,0,0,0,0.863174355,0.136825645,0,0
25,2,2,9.64,2,4.82,90,82,1,2,2,0,0,1,0,2360,-,CASH,Breakfast,weekend,0,0,0,0,0,0.435684647,0,0,0,0,0,0,0.564315353,0,0
27,2,2,19.28,2,9.64,90,82,1,2,2,0,0,1,0,8670,DISCOUNT,CARD,Breakfast,weekend,0.317946058,0,0,0,0,0,0,0,0,0,0,0,0,0.682053942,0
37,2,3,36.17,2,18.085,90,82,0.5,3,2,0,0,0,0,8670,FREEBIE,CARD,Breakfast,weekend,0.168095106,0,0.831904894,0,0,0,0,0,0,0,0,0,0,0,0
26,2,6,69.56,3,23.18666667,90,82,0,3,2,0,2,1,0,4660,-,CARD,Afternoon,weekend,0,0,0,0,0,0,0,0,0,0.771132835,0,0,0,0,0.228867165
20,4,5,19.99,4,4.9975,90,80,0.5,3,2,0,3,1,0,2440,DELIVERY,CARD,Breakfast,weekend,0.381190595,0,0,0.132566283,0,0,0.486243122,0,0,0,0,0,0,0,0
25,3,3,9.47,3,3.156666667,90,80,1,2,2,0,0,1,0,2360,DELIVERY,CARD,Lunch,weekday,0.697993664,0,0,0,0,0,0,0.302006336,0,0,0,0,0,0,0
42,5,6,17.55,5,3.51,90,80,0.8,2,2,0,0,-1,0,2360,DISCOUNT,DIGI,Afternoon,weekday,0,0.17037037,0,0,0.291168091,0.235327635,0,0,0.303133903,0,0,0,0,0,0
24,1,2,10.36,2,5.18,90,79,0,3,2,0,0,1,0,2360,DELIVERY,DIGI,Lunch,weekday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
20,3,3,8.02,3,2.673333333,90,79,1,2,2,0,0,1,0,2360,DISCOUNT,DIGI,Afternoon,weekday,0.229426434,0,0,0,0,0,0,0,0.321695761,0,0,0,0.448877805,0,0
24,1,2,10.36,2,5.18,90,79,0,3,2,0,0,1,0,2360,DELIVERY,DIGI,Lunch,weekday,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
28,2,4,56.42,2,28.21,90,78,0.5,3,2,0,0,0,0,4660,DELIVERY,CASH,Afternoon,weekday,0.858738036,0,0,0,0,0,0,0,0,0,0.141261964,0,0,0,0
26,1,3,22.66,3,7.553333333,90,78,1,2,2,0,0,1,0,4140,DELIVERY,CARD,Breakfast,weekday,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
31,2,3,32.09,2,16.045,90,78,0,3,2,0,2,1,0,4660,-,CARD,Afternoon,weekday,0.544094734,0,0,0,0,0,0,0,0,0.455905266,0,0,0,0,0
38,3,3,14.23,3,4.743333333,90,78,0.666666667,3,2,0,0,1,0,4660,-,CASH,Lunch,weekday,0.338721012,0,0,0,0,0,0,0,0,0.168657765,0.492621223,0,0,0,0
35,2,3,35.82,2,17.91,90,78,1,2,2,0,0,1,0,4660,DELIVERY,CARD,Afternoon,weekday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,2,4,43.18,3,14.39333333,90,78,1,2,2,0,0,1,0,8670,DISCOUNT,CARD,Late Night,weekend,0.291570171,0,0,0,0,0,0,0,0,0,0.708429829,0,0,0,0
22,2,2,18.66,2,9.33,90,78,1,2,2,0,0,1,0,4660,-,CARD,Afternoon,weekday,0,0.452304394,0,0,0,0,0,0.547695606,0,0,0,0,0,0,0
38,3,4,19.13,3,6.376666667,90,78,1,2,2,0,0,1,0,2360,-,CARD,Lunch,weekend,0,0,0,0.265028751,0,0,0.304234187,0,0,0,0,0,0.430737062,0,0
22,5,10,31.48,7,4.497142857,90,78,0.571428571,3,2,0,3,-1,0,2360,DELIVERY,CARD,Dinner,weekend,0,0.153748412,0,0,0.104193139,0.215374841,0,0,0.31956798,0,0.207115629,0,0,0,0
16,5,8,80.72,6,13.45333333,90,77,0.166666667,1,2,0,3,-1,0,8670,-,CARD,Lunch,weekend,0,0.695738355,0,0,0,0,0,0,0,0,0,0,0,0.304261645,0
27,1,3,11.48,2,5.74,90,77,1,2,2,0,0,1,0,4660,DELIVERY,CASH,Afternoon,weekday,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2,2,25.06,2,12.53,90,77,1,2,2,0,0,1,0,8670,DELIVERY,CARD,Late Night,weekday,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
22,2,2,9.54,2,4.77,90,77,0.5,3,2,0,0,0,0,2360,FREEBIE,CARD,Breakfast,weekday,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
24,2,4,62.96,2,31.48,90,76,0,3,2,0,2,1,0,8670,DELIVERY,CASH,Late Night,weekend,0,0,0,0,0,0,0,0,0,0,0.302414231,0,0,0.697585769,0
25,2,5,41.89,3,13.96333333,90,76,0,3,2,0,2,1,0,4660,DISCOUNT,CARD,Lunch,weekend,0,0.261637622,0,0,0,0,0,0,0,0,0.738362378,0,0,0,0
27,2,2,8.56,2,4.28,90,76,1,2,2,0,0,1,0,2440,DISCOUNT,CARD,Breakfast,weekend,0,0,0,0,0,0,0,0,0.571261682,0,0,0,0.428738318,0,0
31,2,2,4.33,2,2.165,90,76,1,2,2,0,1,1,0,2360,-,CARD,Breakfast,weekend,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
33,2,2,10.32,2,5.16,90,76,0.5,3,2,0,0,0,0,4660,DELIVERY,DIGI,Breakfast,weekend,0.296511628,0,0,0,0,0,0,0.703488372,0,0,0,0,0,0,0
31,2,2,18.27,2,9.135,90,74,0.5,3,2,0,0,0,0,8670,FREEBIE,CARD,Breakfast,weekday,0.341543514,0.658456486,0,0,0,0,0,0,0,0,0,0,0,0,0
17,2,4,19.28,2,9.64,90,74,1,2,2,0,0,1,0,2360,-,CASH,Afternoon,weekday,0,0,0,0,0.356846473,0,0,0,0,0,0,0.643153527,0,0,0
22,2,2,7.06,2,3.53,90,74,1,2,2,0,0,1,0,2360,FREEBIE,CARD,Dinner,weekday,0,0,0.23796034,0,0,0,0,0,0,0,0,0,0.76203966,0,0
26,2,2,6.87,2,3.435,90,74,1,2,2,0,0,1,0,2440,DISCOUNT,DIGI,Afternoon,weekday,0,0,0,0,0.197962154,0,0,0,0,0,0,0.802037846,0,0,0
29,2,2,17.21,2,8.605,90,73,0.5,3,2,0,0,0,0,4660,DISCOUNT,DIGI,Lunch,weekday,0.698431145,0.301568855,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,17.53,2,8.765,90,73,0.5,3,2,0,0,0,0,4660,-,CARD,Afternoon,weekday,0.912150599,0,0,0,0,0,0,0,0,0.087849401,0,0,0,0,0
31,1,3,35.95,2,17.975,90,73,1,2,2,0,0,1,0,8670,-,CARD,Lunch,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,3.55,2,1.775,90,73,1,2,2,0,1,1,0,2360,FREEBIE,CARD,Lunch,weekday,0,0.678873239,0,0,0,0,0,0,0,0,0,0,0,0.321126761,0
26,2,3,8.75,3,2.916666667,90,73,1,2,2,0,0,1,0,2360,FREEBIE,CARD,Dinner,weekday,0,0,0,0,0,0,0,0,0,0,0,0.756571429,0,0,0.243428571
27,2,2,25.85,2,12.925,90,73,0.5,3,2,0,0,0,0,8670,-,CARD,Breakfast,weekday,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2,2,17.89,2,8.945,90,72,0,3,2,0,0,1,0,8670,-,CARD,Late Night,weekday,0,0,0,0,0,0,0.664617105,0,0,0,0.335382895,0,0,0,0
21,3,4,22.8,3,7.6,90,72,0.333333333,3,2,0,0,1,0,2360,-,CASH,Lunch,weekday,0.120175439,0.459649123,0,0,0,0,0,0,0,0,0,0.420175439,0,0,0
